appropriate,"적절한, 적당한",st22EP
furnish these people,<mod it to furnish ~ with ...> ~에게 ...을 제공하다,st22EP
referral,소개 ,st22EP
go a long way,<mod it to go a long way in ~ing> ~하는 것에 많은 도움이 되다,st22EP
policy,보험 증권,st22EP
tether,"구속, 속박",st22EP
frigid,몹시 찬[추운],st22EP
numb,망연자실한,st22EP
clarity,명료함,st22EP
dock,부두,st22EP
lift,"(기분, 사기 등을) 좋아지게 하다",st22EP
dead weight,"무거운 짐, 부담, 중압",st22EP
fraction,"부분, 일부분",st22EP
psychs out,<remove s> ~을 정신적으로 동요하게 만들다,st22EP
whistle,쌩 날아가다,st22EP
invariably,예외 없이 변함 없이,st22EP
divert,전환시키다 (ex. something that diverts your attention away from your fears.),st22EP
solid,믿음직한,st22EP
in charge of,~를 맡아서,st22EP
burial,매장지,st22EP
raid,"습격하다, 급습하다",st22EP
reservation,의구심 + 예약,st22EP
blatant,"노골적인, 뻔뻔스러운",st22EP
advance,(의견을) 제시하다,st22EP
gas pedal,가속 페달,st22EP
positive,"양수의, 양수",st22EP
negative,"음수의, 음수",st22EP
venetian,베네치아의,st22EP
painstaking,공들인,st22EP
muted,약화된,st22EP
monochromatic,단색의,st22EP
obscurity,"무명, 알려지지 않은 상태",st22EP
on par with,~과 동등한,st22EP
for the most part,"보통의, 대개의",st22EP
license,"(add as V) 허가하다, 허락하다",st22EP
spawn,"낳다, 생기게 하다",st22EP
document,(신문 따위에) 보도하다,st22EP
well into,~에 들어서도 한참동안,st22EP
equity,형평법,st22EP
turned to,<mod it to turn to> ~에 의존하다,st22EP
plaintiff,원고,st22EP
defendant,피고,st22EP
chancellor,대법관,st22EP
judical,"사법의, 재판의",st22EP
parliament,(영국) 의회,st22EP
injunction,법정의 금지[강제] 명령,st22EP
in the distance,멀리서,st22EP
spot,<add as V> 발견하다,st22EP
suffice,충분하다,st22EP
at a cost,"희생, 대가를 치르는",st22EP
comprehensiveness,"포괄적임, 포괄성",st22EP
perilous,위험한,st22EP
superiority,"우세, 우월성",st22EP
textile,직물,st22EP
fabricate,제조하다,st22EP
gendered,성별을 반영한,st22EP
relevance,"의의, 관련성, 적절성",st22EP
agent,"(사건을 일으키는) 동인, 요인",st22EP
defy,(설명하기 등이) 거의 불가능하다 + 原:반항하다,st22EP
in a matter of,불과 ~ 만에,st22EP
degradation,약화,st22EP
casuality,사상자,st22EP
contend,주장하다,st22EP
normative,규범적인,st22EP
axiological,가치론적인,st22EP
representational,"기술적인, 묘사적인",st22EP
convincing,설득력 있는,st22EP
triumph,"성공하다, 승리를 거두다",st22EP
ingenuity,"기발한 재주, 창의력",st22EP
composting,퇴비화,st22EP
pitfall,(눈에 잘 안띄는) 어려움[위험],st22EP
gradual,"점차적인, 점진적인",st22EP
nurturance,"애정 어린 보살핌, 양육",st22EP
publicity,홍보,st22EP
at your disposal,<mod to at one's disposal> ~의 마음대로 이용할 수 있는[있게],st22EP
press release,(언론) 보도 자료,st22EP
fallout,"좋지 않은 결과, 악영향",st22EP
appeal to,~에(게) 호소하다,st22EP
expedient,편의(주의)적인,st22EP
be kept out of,<mod to keep ~ out of ...> ~을 ...에 관여하지 못하게 하다,st22EP
dementia,치매,st22EP
stamp,깊이 새기다,st22EP
plague,"고생하게 하다, 괴롭히다",st22EP
combative,전투적인,st22EP
elaboration,상세한 설명,st22EP
as poopsed to,~이 아니라,st22EP
offset,상쇄하다,st22EP
lockup,임대창고,st22EP
deem,"간주하다, 여기다",st22EP
disconfirmation,타당성을 반박함,st22EP
resilient,쉽게 손상되지 않는,st22EP
dealing,(사업) 관계,st22EP
deplete,고갈시키다,st22EP
futility,헛수고,st22EP
ploy,책략,st22EP
exorbitantly,터무니없이,st22EP
instruct,"알려 주다, 전하다",st22EP
